uin,archive_status,financial_year,insurer,product_name,approval_date,product_type,document_url,document_text,scraped_at,approval_date_iso,insurer_code,uin_category,uin_type,uin_serial,uin_version,canonical_insurer,line_key,version_num,is_latest_version,product_key,score
MCIHLIP21070V012021,Non-Archived,2020-2021,Manipal Cigna Health Insurance Co Ltd,"Corona Kavach Policy,Manipal Cigna",07-10-2020,New,https://irdai.gov.in/documents/37343/931203/MCIHLIP21070V012021_2020-2021.pdf/7a8a44a8-821a-c3e1-f95f-744b4d7f10dc?version=1.1&t=1668153171854&download=true,MCIHLIP21070V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-10-07,MCI,HL,IP,21070,01,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|21070,1,True,corona kavach manipal cigna,194
NBHHLIP22151V012122,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,"Arogya Sanjeevani, Niva Bupa Health Insurance Co. Ltd.",24-08-2021,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP22151V012122_HEALTH2134.pdf/ddc465e4-2012-c8bf-c582-7463e0c75c74?version=1.1&t=1668766621195&download=true,NBHHLIP22151V012122_HEALTH2134.pdf,2026-08-21T06:22:28.557237+00:00,2021-08-24,NBH,HL,IP,22151,01,Niva Bupa Health Insurance Company Limited,NBH|HL|IP|22151,1,True,arogya sanjeevani niva bupa health co ltd,196
SBIHLIP22136V032122,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,Arogya Premier Policy,30-07-2021,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22136V032122_HEALTH2142.pdf/456087c3-98b3-6e74-2d8e-e94de9f14203?version=1.1&t=1668767203332&download=true,SBIHLIP22136V032122_HEALTH2142.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-30,SBI,HL,IP,22136,03,SBI General Insurance Company Limited,SBI|HL|IP|22136,3,True,arogya premier,196
SHAHLIP22226V012122,Non-Archived,2021-2022,Star Health & Allied Insurance Co. Ltd,Star Health Premier Insurance Policy,11-03-2022,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP22226V012122.pdf/c6613fb9-5c51-db3b-f328-e310e35794ec?version=1.1&t=1668853701979&download=true,SHAHLIP22226V012122.pdf,2026-08-21T06:22:28.557237+00:00,2022-03-11,SHA,HL,IP,22226,01,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22226,1,True,star health premier,198
TATHLIP21293V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,Home Guard Plus Policy,20-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21293V022021_2020-2021.pdf/9c7bc6cf-a981-c9e8-a73d-1062e64e8cb3?version=1.1&t=1668593057247&download=true,TATHLIP21293V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-20,TAT,HL,IP,21293,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21293,2,True,home guard plus,194
ADIHLIP21062V022021,Non-Archived,2020-2021,Aditya Birla Health Insurance Co. Ltd.,Activ Care,30-06-2020,Revision,https://irdai.gov.in/documents/37343/931203/ADIHLIP21062V022021_2020-2021.pdf/13145754-8a7a-1087-cc3e-2d179c9f72e8?version=1.1&t=1668579560455&download=true,ADIHLIP21062V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-06-30,ADI,HL,IP,21062,02,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|21062,2,True,activ care,194
BAJHLIP21146V022021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,Extra Care,08-12-2020,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21146V022021_2020-2021.pdf/d2b214ec-6122-2518-0906-f3285f1506bb?version=1.1&t=1668581706141&download=true,BAJHLIP21146V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-12-08,BAJ,HL,IP,21146,02,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21146,2,True,extra care,194
RHIHLIP21519V022021,Non-Archived,2020-2021,Care Health Insurance Ltd.,Care Freedom,30-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/RHIHLIP21519V022021_2020-2021.pdf/312ebe2a-6229-6754-48bf-bf7aea1c8931?version=1.1&t=1668583902334&download=true,RHIHLIP21519V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-30,RHI,HL,IP,21519,02,Care Health Insurance Limited,RHI|HL|IP|21519,2,True,care freedom,194
HDFHLIP21005V022122,Non-Archived,2021-2022,HDFC ERGO General Insurance Co. Ltd.,my: Sampoorna Suraksha,04-07-2021,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLIP21005V022122_HEALTH2014.pdf/04196f2d-ac06-398a-d74d-f4b32098b86b?version=1.1&t=1668845105146&download=true,HDFHLIP21005V022122_HEALTH2014.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-04,HDF,HL,IP,21005,02,HDFC ERGO General Insurance Company Limited,HDF|HL|IP|21005,2,True,my sampoorna suraksha,196
ICIHLIP22092V032122,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,Family Shield,02-07-2021,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLIP22092V032122_HEALTH2105.pdf/a9f5172f-839f-84e7-dfa4-df80a27c0c0c?version=1.1&t=1668843142555&download=true,ICIHLIP22092V032122_HEALTH2105.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-02,ICI,HL,IP,22092,03,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|22092,3,True,family shield,196
