uin,archive_status,financial_year,insurer,product_name,approval_date,product_type,document_url,document_text,scraped_at,approval_date_iso,insurer_code,uin_category,uin_type,uin_serial,uin_version,canonical_insurer,line_key,version_num,is_latest_version,product_key,score
SHAHLIP22140V012122,Non-Archived,2021-2022,Star Health and Allied Insurrance Co.,Star Critical Illness Multipay Insurance Policy,06-08-2021,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP22140V012122_HEALTH2149.pdf/757161fa-a42f-5982-7b90-62a7289fb6db?version=1.1&t=1668767870969&download=true,SHAHLIP22140V012122_HEALTH2149.pdf,2026-08-21T06:22:28.557237+00:00,2021-08-06,SHA,HL,IP,22140,01,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22140,1,True,star critical illness multipay,196
TATHLIP21260V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,MediSenior,17-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21260V022021_2020-2021.pdf/6752451a-96a5-3458-dc46-58b5a13a596b?version=1.1&t=1668592893225&download=true,TATHLIP21260V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-17,TAT,HL,IP,21260,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21260,2,True,medisenior,194
ADIHLIP20170V011920,Non-Archived,2019-2020,Aditya Birla Health Insurance Co Ltd,"ArogyaSanjeevani Policy, Aditya Birla Health Insurance Company Limited",31-03-2020,New,https://irdai.gov.in/documents/37343/931203/ADIHLIP20170V011920_2019-2020.pdf/4436815b-247c-06d5-3d14-112905fdf817?version=1.1&t=1668511041948&download=true,ADIHLIP20170V011920_2019-2020.pdf,2026-08-21T06:22:28.557237+00:00,2020-03-31,ADI,HL,IP,20170,01,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|20170,1,True,arogyasanjeevani aditya birla health company limited,194
BAJHLIP21100V012021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,"Corona Kavach Policy, Bajaj Allianz General Insurance Co Ltd",07-10-2020,New,https://irdai.gov.in/documents/37343/931203/BAJHLIP21100V012021_2020-2021.pdf/efd4507d-a173-28ca-ecf5-a427224cd7bf?version=1.1&t=1668154903452&download=true,BAJHLIP21100V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-10-07,BAJ,HL,IP,21100,01,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21100,1,True,corona kavach bajaj allianz general co ltd,194
RHIHLIP21372V022021,Non-Archived,2020-2021,Care Health Insurance Ltd.,Enhance,21-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/RHIHLIP21372V022021_2020-2021.pdf/4adcd1b6-1d72-97f3-a2bb-6059bb03454d?version=1.1&t=1668583683312&download=true,RHIHLIP21372V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-21,RHI,HL,IP,21372,02,Care Health Insurance Limited,RHI|HL|IP|21372,2,True,enhance,194
HDHHLIP21053V022021,Non-Archived,2020-2021,HDFC Ergo Health Insurance Ltd,Total Health,06-11-2020,Revision,https://irdai.gov.in/documents/37343/931203/HDHHLIP21053V022021_2020-2021.pdf/0354d7aa-c983-cb47-d35a-4be22ae95428?version=1.1&t=1668583460006&download=true,HDHHLIP21053V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-11-06,HDH,HL,IP,21053,02,HDFC ERGO General Insurance Company Limited,HDH|HL|IP|21053,2,True,total health,194
ICIHLIP21569V012021,Non-Archived,2020-2021,ICICI Lombard General Insurance Co Ltd,BeFit,01-01-2021,New,https://irdai.gov.in/documents/37343/931203/ICIHLIP21569V012021_2020-2021.pdf/ee778358-7610-1dcf-8c69-d7cbe1b5c57a?version=1.1&t=1668583657192&download=true,ICIHLIP21569V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2021-01-01,ICI,HL,IP,21569,01,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|21569,1,True,befit,196
MCIHLIP21139V012021,Non-Archived,2020-2021,Manipal Cigna Health Insurance Company Limited,"Corona Rakshak Policy, ManipalCigna",08-07-2020,Individual,https://irdai.gov.in/documents/37343/931203/MCIHLIP21139V012021_2020-2021.pdf/0f71aa1f-081b-c4af-f5c2-5049bef0d224?version=1.1&t=1668593995571&download=true,MCIHLIP21139V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-07-08,MCI,HL,IP,21139,01,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|21139,1,True,corona rakshak manipalcigna,194
MAXHLIP21072V012021,Non-Archived,2020-2021,Max Bupa Health Insurance Co Ltd,"Corona Kavach Policy, Max Bupa Health Insurance Co. Ltd",07-09-2020,New,https://irdai.gov.in/documents/37343/931203/MAXHLIP21072V012021_2020-2021.pdf/ac183b42-1b8d-2e76-76d3-1c27b11d90e2?version=1.1&t=1668153230694&download=true,MAXHLIP21072V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-07,MAX,HL,IP,21072,01,Niva Bupa Health Insurance Company Limited,MAX|HL|IP|21072,1,True,corona kavach max bupa health co ltd,194
SBIHLIP21090V012021,Non-Archived,2020-2021,SBI General Insurance Co.Ltd,"Corona Kavach Policy, SBI General Insurance Company Limited",07-08-2020,New,https://irdai.gov.in/documents/37343/931203/SBIHLIP21090V012021_2020-2021.pdf/03f6f807-e4cf-be70-89ba-9d9da4f0cb6a?version=1.1&t=1668152626178&download=true,SBIHLIP21090V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-08-07,SBI,HL,IP,21090,01,SBI General Insurance Company Limited,SBI|HL|IP|21090,1,True,corona kavach sbi general company limited,194
SHAHLIP22102V052122,Non-Archived,2021-2022,Star Health and Allied Insurrance Co.,Family Health Optima Accident Care Policy,07-07-2021,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP22102V052122_HEALTH2148.pdf/18ee492c-1456-e476-934a-9c21555ac7be?version=1.1&t=1668767975865&download=true,SHAHLIP22102V052122_HEALTH2148.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-07,SHA,HL,IP,22102,05,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22102,5,True,family health optima accident care,196
TATHLIP21258V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,Mediplus,17-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21258V022021_2020-2021.pdf/9498f5a7-775a-57c1-f826-4519550b45e4?version=1.1&t=1668592814101&download=true,TATHLIP21258V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-17,TAT,HL,IP,21258,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21258,2,True,mediplus,194
ADIHLIP20001V011920,Non-Archived,2019-2020,Aditya Birla Helath Insurance Co,Active Care,04-03-2019,New,https://irdai.gov.in/documents/37343/931203/ADIHLIP20001V011920_2019-2020.pdf/0acad0fc-026d-54e3-5e22-8d6d0be00f3a?version=1.1&t=1668511334784&download=true,ADIHLIP20001V011920_2019-2020.pdf,2026-08-21T06:22:28.557237+00:00,2019-03-04,ADI,HL,IP,20001,01,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|20001,1,True,active care,192
BAJHLIP21182V022021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,Family Health Care,31-08-2020,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21182V022021_2020-2021.pdf/93a3c398-c919-cd8c-4364-49a864bf5bdd?version=1.1&t=1668581752001&download=true,BAJHLIP21182V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-08-31,BAJ,HL,IP,21182,02,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21182,2,True,family health care,194
RHIHLIP21373V022021,Non-Archived,2020-2021,Care Health Insurance Ltd.,Joy,21-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/RHIHLIP21373V022021_2020-2021.pdf/52a184e7-15c7-0273-b024-c75f14645449?version=1.1&t=1668583726468&download=true,RHIHLIP21373V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-21,RHI,HL,IP,21373,02,Care Health Insurance Limited,RHI|HL|IP|21373,2,True,joy,194
HDFHLIP21112V012021,Non-Archived,2020-2021,HDFC ERGO General Insurance Co.Ltd.,"Corona Rakshak Policy, HDFC ERGO",08-10-2020,Individual,https://irdai.gov.in/documents/37343/931203/HDFHLIP21112V012021_2020-2021.pdf/9ebe54d8-8bfa-2cfc-63c1-9db4454b7447?version=1.1&t=1668581643884&download=true,HDFHLIP21112V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-10-08,HDF,HL,IP,21112,01,HDFC ERGO General Insurance Company Limited,HDF|HL|IP|21112,1,True,corona rakshak hdfc ergo,194
ICIHLIP21391V022021,Non-Archived,2020-2021,ICICI LOMBARD General Insurance Co. Ltd.,Hospifund Insurance,22-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLIP21391V022021_2020-2021.pdf/e770ded2-fbec-e368-faca-45793210757e?version=1.1&t=1668585045616&download=true,ICIHLIP21391V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-22,ICI,HL,IP,21391,02,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|21391,2,True,hospifund,194
MCIHLIP20156V011920,Non-Archived,2019-2020,Manipal Cigna Health Insurance Co Ltd,"Arogya Sanjeevani Policy,Manipal Cigna",26-03-2020,New,https://irdai.gov.in/documents/37343/931203/MCIHLIP20156V011920_2019-2020.pdf/b7ed1bec-d07e-2b7b-19b3-21f9d56893d8?version=1.1&t=1668575174037&download=true,MCIHLIP20156V011920_2019-2020.pdf,2026-08-21T06:22:28.557237+00:00,2020-03-26,MCI,HL,IP,20156,01,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|20156,1,True,arogya sanjeevani manipal cigna,194
MAXHLIP21173V022021,Non-Archived,2020-2021,Max Bupa Health Insurance Co. Ltd,GoActive,28-08-2020,Revision,https://irdai.gov.in/documents/37343/931203/MAXHLIP21173V022021_2020-2021.pdf/92f043da-fafa-0be9-5a2f-37cb38da6dd1?version=1.1&t=1668594770478&download=true,MAXHLIP21173V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-08-28,MAX,HL,IP,21173,02,Niva Bupa Health Insurance Company Limited,MAX|HL|IP|21173,2,True,goactive,194
SBIHLIP21120V012021,Non-Archived,2020-2021,SBI General Insurance Co. Ltd.,"Corona Rakshak Policy, SBIGeneral Insurance Co. Ltd",23-07-2020,Individual,https://irdai.gov.in/documents/37343/931203/SBIHLIP21120V012021_2020-2021.pdf/b7d46f49-a8a7-4ede-9c02-f9161dfce5ff?version=1.1&t=1668754707868&download=true,SBIHLIP21120V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-07-23,SBI,HL,IP,21120,01,SBI General Insurance Company Limited,SBI|HL|IP|21120,1,True,corona rakshak sbigeneral co ltd,194
SHAHLIP22027V032122,Non-Archived,2021-2022,Star Health & Allied Insurance Co. Ltd.,"Arogya Sanjeevani Policy, Star Health and Allied Insurance Co Ltd.""",31-05-2021,Revision,https://irdai.gov.in/documents/37343/931203/SHAHLIP22027V032122_HEALTH2049.pdf/f4d863fa-cd41-e55d-d747-d2ff2d88d060?version=1.1&t=1668769933635&download=true,SHAHLIP22027V032122_HEALTH2049.pdf,2026-08-21T06:22:28.557237+00:00,2021-05-31,SHA,HL,IP,22027,03,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22027,3,True,arogya sanjeevani star health and allied co ltd,196
TATHLIP21257V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,Tata AIG Medicare Premier,17-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21257V022021_2020-2021.pdf/bcb13442-a5ad-afa0-8a1d-5696337e8b13?version=1.1&t=1668592642016&download=true,TATHLIP21257V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-17,TAT,HL,IP,21257,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21257,2,True,tata aig medicare premier,194
BAJHLIP21115V022021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,Hospital Cash Daily Allowance,31-08-2020,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21115V022021_2020-2021.pdf/c99daebb-68e0-d213-f14c-e2e72474d059?version=1.1&t=1668581319137&download=true,BAJHLIP21115V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-08-31,BAJ,HL,IP,21115,02,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21115,2,True,hospital cash daily allowance,194
RHIHLIP21374V022021,Non-Archived,2020-2021,Care Health Insurance Ltd.,Super Mediclaim,21-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/RHIHLIP21374V022021_2020-2021.pdf/4fd9668d-f0b5-ff3b-00f2-fcba1920b004?version=1.1&t=1668583776275&download=true,RHIHLIP21374V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-21,RHI,HL,IP,21374,02,Care Health Insurance Limited,RHI|HL|IP|21374,2,True,super mediclaim,194
HDHHLIP21109V012021,Non-Archived,2020-2021,HDFC ERGO Health Insurance Limited,"Corona Rakshak Policy, HDFC ERGO Health",07-10-2020,Individual,https://irdai.gov.in/documents/37343/931203/HDHHLIP21109V012021_2020-2021.pdf/a88fd38d-04b9-4a8f-b145-18552aee57ab?version=1.1&t=1668582347130&download=true,HDHHLIP21109V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-10-07,HDH,HL,IP,21109,01,HDFC ERGO General Insurance Company Limited,HDH|HL|IP|21109,1,True,corona rakshak hdfc ergo health,194
ICIHLIP21383V052021,Non-Archived,2020-2021,ICICI LOMBARD General Insurance Co. Ltd.,ICICI Complete Health Insurance,22-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLIP21383V052021_2020-2021.pdf/0948ef3e-3860-6893-1f9f-451cb7aad3b6?version=1.1&t=1668584946575&download=true,ICIHLIP21383V052021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-22,ICI,HL,IP,21383,05,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|21383,5,True,icici complete health,194
MCIHLIP20081V011920,Non-Archived,2019-2020,Manipal Cigna Health Insurance Co Ltd,Manipal Cigna Super Top Up,20-11-2019,New,https://irdai.gov.in/documents/37343/931203/MCIHLIP20081V011920_2019-2020.pdf/b6008ab1-7975-a259-d914-b9c32f8b514a?version=1.1&t=1668575122659&download=true,MCIHLIP20081V011920_2019-2020.pdf,2026-08-21T06:22:28.557237+00:00,2019-11-20,MCI,HL,IP,20081,01,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|20081,1,True,manipal cigna super top up,192
MAXHLIP21176V022021,Non-Archived,2020-2021,Max Bupa Health Insurance Co. Ltd,Health Premia,28-08-2020,Revision,https://irdai.gov.in/documents/37343/931203/MAXHLIP21176V022021_2020-2021.pdf/4fd40964-5417-b5cd-e501-7d720ef4feb6?version=1.1&t=1668595083364&download=true,MAXHLIP21176V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-08-28,MAX,HL,IP,21176,02,Niva Bupa Health Insurance Company Limited,MAX|HL|IP|21176,2,True,health premia,194
SBIHLIP20180V011920,Non-Archived,2019-2020,SBI General Insurance Co.Ltd,"Arogya Sanjeevani Policy, SBI General Insurance Company Limited",04-01-2020,New,https://irdai.gov.in/documents/37343/931203/SBIHLIP20180V011920_2019-2020.pdf/2de1fc0b-c744-58c9-289d-4b45fa29113a?version=1.1&t=1668576395137&download=true,SBIHLIP20180V011920_2019-2020.pdf,2026-08-21T06:22:28.557237+00:00,2020-01-04,SBI,HL,IP,20180,01,SBI General Insurance Company Limited,SBI|HL|IP|20180,1,True,arogya sanjeevani sbi general company limited,194
SHAHLIP22029V072122,Non-Archived,2021-2022,Star Health & Allied Insurance Co. Ltd.,Diabetes Safe Insurance Policy,31-05-2021,Revision,https://irdai.gov.in/documents/37343/931203/SHAHLIP22029V072122_HEALTH2051.pdf/45925d7a-2a00-121a-8f46-77ace2a9dbdb?version=1.1&t=1668770003870&download=true,SHAHLIP22029V072122_HEALTH2051.pdf,2026-08-21T06:22:28.557237+00:00,2021-05-31,SHA,HL,IP,22029,07,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22029,7,True,diabetes safe,196
TATHLIP21253V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,Tata AIG Medicare Plus,16-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21253V022021_2020-2021.pdf/4c330fc2-6fe0-8709-30e4-d07032c75f61?version=1.1&t=1668592472802&download=true,TATHLIP21253V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-16,TAT,HL,IP,21253,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21253,2,True,tata aig medicare plus,194
BAJHLIP21184V022021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,Tax Gain,31-08-2020,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21184V022021_2020-2021.pdf/7790d106-a4b4-7b8d-71e3-84f581590cde?version=1.1&t=1668581893534&download=true,BAJHLIP21184V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-08-31,BAJ,HL,IP,21184,02,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21184,2,True,tax gain,194
